TIMESTAMP: 25.500000, X: 4.308170, Y: 12.913399, Z: 2.709135, PITCH: -0.119413, YAW: -1.234024
TIMESTAMP: 26.000000, X: 3.598022, Y: 12.685313, Z: 3.406789, PITCH: -0.129837, YAW: -1.215154
TIMESTAMP: 26.500000, X: 3.025566, Y: 12.441985, Z: 4.214106, PITCH: -0.138245, YAW: -1.207410
TIMESTAMP: 27.000000, X: 2.609825, Y: 12.197229, Z: 5.110504, PITCH: -0.146614, YAW: -1.199879
TIMESTAMP: 27.500000, X: 2.361657, Y: 11.966967, Z: 6.064808, PITCH: -0.154968, YAW: -1.192426
TIMESTAMP: 28.000000, X: 2.284052, Y: 11.767604, Z: 7.038103, PITCH: -0.163326, YAW: -1.184964
TIMESTAMP: 28.500000, X: 2.372926, Y: 11.614223, Z: 7.987284, PITCH: -0.171684, YAW: -1.177495
TIMESTAMP: 29.000000, X: 2.618263, Y: 11.518739, Z: 8.868973, PITCH: -0.180024, YAW: -1.170069
TIMESTAMP: 29.500000, X: 3.005486, Y: 11.488221, Z: 9.643446, PITCH: -0.188338, YAW: -1.162703
TIMESTAMP: 30.000000, X: 3.516940, Y: 11.523534, Z: 10.278239, PITCH: -0.197070, YAW: -1.154393
TIMESTAMP: 30.500000, X: 4.133345, Y: 11.618482, Z: 10.751089, PITCH: -0.202168, YAW: -1.154284
TIMESTAMP: 31.000000, X: 4.835112, Y: 11.759627, Z: 11.051870, PITCH: -0.171535, YAW: -1.234831
TIMESTAMP: 31.500000, X: 5.603390, Y: 11.926936, Z: 11.183202, PITCH: -0.142576, YAW: -1.311595
TIMESTAMP: 32.000000, X: 6.420780, Y: 12.095300, Z: 11.159639, PITCH: -0.113972, YAW: -1.387562
TIMESTAMP: 32.500000, X: 7.271752, Y: 12.236721, Z: 11.005636, PITCH: -0.085317, YAW: -1.463657
TIMESTAMP: 33.000000, X: 8.142805, Y: 12.322920, Z: 10.752687, PITCH: -0.056650, YAW: -1.539786
TIMESTAMP: 33.500000, X: 9.022451, Y: 12.328081, Z: 10.435978, PITCH: -0.027799, YAW: -1.615974
TIMESTAMP: 34.000000, X: 9.901067, Y: 12.231462, Z: 10.090952, PITCH: 0.001119, YAW: -1.692186
TIMESTAMP: 34.500000, X: 10.770701, Y: 12.019590, Z: 9.750148, PITCH: 0.026174, YAW: -1.767020
TIMESTAMP: 35.000000, X: 11.624865, Y: 11.687783, Z: 9.440682, PITCH: -0.052321, YAW: -1.804844
TIMESTAMP: 35.500000, X: 12.458404, Y: 11.240702, Z: 9.182756, PITCH: -0.216475, YAW: -1.812073
TIMESTAMP: 36.000000, X: 13.267469, Y: 10.691757, Z: 8.989463, PITCH: -0.384237, YAW: -1.817981
TIMESTAMP: 36.500000, X: 14.049589, Y: 10.061421, Z: 8.867820, PITCH: -0.552866, YAW: -1.823538
TIMESTAMP: 37.000000, X: 14.803768, Y: 9.374778, Z: 8.820638, PITCH: -0.722242, YAW: -1.829860
TIMESTAMP: 37.500000, X: 15.530522, Y: 8.658710, Z: 8.848726, PITCH: -0.892048, YAW: -1.836503
TIMESTAMP: 38.000000, X: 16.231772, Y: 7.939108, Z: 8.952971, PITCH: -0.983467, YAW: -1.783382
TIMESTAMP: 38.500000, X: 16.910507, Y: 7.238489, Z: 9.135795, PITCH: -0.794464, YAW: -1.516584
TIMESTAMP: 39.000000, X: 17.570150, Y: 6.574384, Z: 9.401564, PITCH: -0.619510, YAW: -1.260425
TIMESTAMP: 39.500000, X: 18.213637, Y: 5.958658, Z: 9.755826, PITCH: -0.444563, YAW: -1.004452
TIMESTAMP: 40.000000, X: 18.842360, Y: 5.397608, Z: 10.203683, PITCH: -0.269633, YAW: -0.749880
TIMESTAMP: 40.500000, X: 19.455154, Y: 4.892621, Z: 10.747761, PITCH: -0.091648, YAW: -0.484892
TIMESTAMP: 41.000000, X: 20.047518, Y: 4.441145, Z: 11.386239, PITCH: -0.027591, YAW: -0.611817
TIMESTAMP: 41.500000, X: 20.611247, Y: 4.037738, Z: 12.111406, PITCH: -0.023712, YAW: -0.946364
TIMESTAMP: 42.000000, X: 21.134637, Y: 3.674985, Z: 12.909116, PITCH: -0.022236, YAW: -1.289051
TIMESTAMP: 42.500000, X: 21.603243, Y: 3.344209, Z: 13.759237, PITCH: -0.020899, YAW: -1.631987
TIMESTAMP: 43.000000, X: 22.001062, Y: 3.035988, Z: 14.636886, PITCH: -0.019464, YAW: -1.974705
TIMESTAMP: 43.500000, X: 22.311999, Y: 2.740532, Z: 15.514255, PITCH: -0.018022, YAW: -2.317434
TIMESTAMP: 44.000000, X: 22.521448, Y: 2.447948, Z: 16.362766, PITCH: -0.016578, YAW: -2.660317
TIMESTAMP: 44.500000, X: 22.617842, Y: 2.148450, Z: 17.155349, PITCH: -0.015152, YAW: -3.002752
TIMESTAMP: 45.000000, X: 22.594012, Y: 1.832546, Z: 17.868602, PITCH: -0.014001, YAW: 2.946510
TIMESTAMP: 45.500000, X: 22.448204, Y: 1.491244, Z: 18.484600, PITCH: -0.016313, YAW: 2.718783
TIMESTAMP: 46.000000, X: 22.184608, Y: 1.116329, Z: 18.992150, PITCH: -0.018551, YAW: 2.488744
TIMESTAMP: 46.500000, X: 21.813321, Y: 0.700713, Z: 19.387342, PITCH: -0.020770, YAW: 2.258190
TIMESTAMP: 47.000000, X: 21.349798, Y: 0.238850, Z: 19.673459, PITCH: -0.022992, YAW: 2.027687
TIMESTAMP: 47.500000, X: 20.813884, Y: -0.272817, Z: 19.860338, PITCH: -0.025214, YAW: 1.797200
TIMESTAMP: 48.000000, X: 20.228538, Y: -0.835427, Z: 19.963295, PITCH: -0.027436, YAW: 1.566712
TIMESTAMP: 48.500000, X: 19.618354, Y: -1.447302, Z: 20.001725, PITCH: -0.029658, YAW: 1.336225
TIMESTAMP: 49.000000, X: 19.007973, Y: -2.103634, Z: 19.997500, PITCH: -0.031882, YAW: 1.105727
TIMESTAMP: 49.500000, X: 18.420508, Y: -2.796288, Z: 19.973258, PITCH: -0.034110, YAW: 0.875200
TIMESTAMP: 50.000000, X: 17.876074, Y: -3.513745, Z: 19.950712, PITCH: -0.036284, YAW: 0.645064
TIMESTAMP: 50.500000, X: 17.390527, Y: -4.241241, Z: 19.949076, PITCH: -0.038373, YAW: 0.415722
TIMESTAMP: 51.000000, X: 16.974531, Y: -4.961117, Z: 19.983739, PITCH: -0.042144, YAW: 0.171733
TIMESTAMP: 51.500000, X: 16.633035, Y: -5.653433, Z: 20.065271, PITCH: -0.003457, YAW: 0.300350
TIMESTAMP: 52.000000, X: 16.365290, Y: -6.296862, Z: 20.198904, PITCH: 0.056162, YAW: 0.613118
TIMESTAMP: 52.500000, X: 16.165444, Y: -6.869902, Z: 20.384538, PITCH: 0.116561, YAW: 0.932610
TIMESTAMP: 53.000000, X: 16.023692, Y: -7.352305, Z: 20.617269, PITCH: 0.176993, YAW: 1.252295
TIMESTAMP: 53.500000, X: 15.927778, Y: -7.726631, Z: 20.888311, PITCH: 0.237335, YAW: 1.571598
TIMESTAMP: 54.000000, X: 15.864707, Y: -7.979744, Z: 21.186173, PITCH: 0.297850, YAW: 1.891493
TIMESTAMP: 54.500000, X: 15.822446, Y: -8.104131, Z: 21.497982, PITCH: 0.359637, YAW: 2.217555
TIMESTAMP: 55.000000, X: 15.791460, Y: -8.098889, Z: 21.810779, PITCH: 0.397305, YAW: 2.426682
TIMESTAMP: 55.500000, X: 15.765872, Y: -7.970229, Z: 22.112692, PITCH: 0.339192, YAW: 2.169804
TIMESTAMP: 56.000000, X: 15.744103, Y: -7.731379, Z: 22.393836, PITCH: 0.287164, YAW: 1.942535
