TIMESTAMP: 5.100000, X: -2.015303, Y: 8.139355, Z: -0.980727, PITCH: 0.116539, YAW: 1.373959
TIMESTAMP: 5.200000, X: -2.004725, Y: 8.254938, Z: -1.004916, PITCH: 0.117653, YAW: 1.386263
TIMESTAMP: 5.300000, X: -1.988314, Y: 8.366681, Z: -1.029824, PITCH: 0.118813, YAW: 1.398392
TIMESTAMP: 5.400000, X: -1.965882, Y: 8.474276, Z: -1.055425, PITCH: 0.119777, YAW: 1.411285
TIMESTAMP: 5.500000, X: -1.937259, Y: 8.577440, Z: -1.081694, PITCH: 0.120663, YAW: 1.424486
TIMESTAMP: 5.600000, X: -1.902304, Y: 8.675918, Z: -1.108602, PITCH: 0.121901, YAW: 1.436306
TIMESTAMP: 5.700000, X: -1.860897, Y: 8.769485, Z: -1.136118, PITCH: 0.123239, YAW: 1.447728
TIMESTAMP: 5.800000, X: -1.812948, Y: 8.857946, Z: -1.164208, PITCH: 0.124024, YAW: 1.461327
TIMESTAMP: 5.900000, X: -1.758389, Y: 8.941137, Z: -1.192839, PITCH: 0.125259, YAW: 1.473154
TIMESTAMP: 6.000000, X: -1.697181, Y: 9.018927, Z: -1.221975, PITCH: 0.128646, YAW: 1.476510
TIMESTAMP: 6.100000, X: -1.629308, Y: 9.091217, Z: -1.251577, PITCH: 0.133258, YAW: 1.475045
TIMESTAMP: 6.200000, X: -1.554782, Y: 9.157943, Z: -1.281608, PITCH: 0.137205, YAW: 1.476196
TIMESTAMP: 6.300000, X: -1.473640, Y: 9.219071, Z: -1.312026, PITCH: 0.140528, YAW: 1.479802
TIMESTAMP: 6.400000, X: -1.385943, Y: 9.274602, Z: -1.342792, PITCH: 0.144175, YAW: 1.482137
TIMESTAMP: 6.500000, X: -1.291777, Y: 9.324567, Z: -1.373864, PITCH: 0.148150, YAW: 1.483175
TIMESTAMP: 6.600000, X: -1.191247, Y: 9.369030, Z: -1.405202, PITCH: 0.151957, YAW: 1.484877
TIMESTAMP: 6.700000, X: -1.084484, Y: 9.408086, Z: -1.436763, PITCH: 0.155588, YAW: 1.487273
TIMESTAMP: 6.800000, X: -0.971634, Y: 9.441856, Z: -1.468509, PITCH: 0.159309, YAW: 1.489314
TIMESTAMP: 6.900000, X: -0.852867, Y: 9.470491, Z: -1.500397, PITCH: 0.163123, YAW: 1.490984
TIMESTAMP: 7.000000, X: -0.728364, Y: 9.494168, Z: -1.532389, PITCH: 0.166889, YAW: 1.492844
TIMESTAMP: 7.100000, X: -0.598326, Y: 9.513088, Z: -1.564448, PITCH: 0.170608, YAW: 1.494903
TIMESTAMP: 7.200000, X: -0.462965, Y: 9.527474, Z: -1.596536, PITCH: 0.174352, YAW: 1.496861
TIMESTAMP: 7.300000, X: -0.322504, Y: 9.537571, Z: -1.628619, PITCH: 0.178118, YAW: 1.498710
TIMESTAMP: 7.400000, X: -0.177178, Y: 9.543642, Z: -1.660664, PITCH: 0.181870, YAW: 1.500614
TIMESTAMP: 7.500000, X: -0.027227, Y: 9.545966, Z: -1.692641, PITCH: 0.185617, YAW: 1.502579
TIMESTAMP: 7.600000, X: 0.127100, Y: 9.544838, Z: -1.724523, PITCH: 0.189372, YAW: 1.504515
TIMESTAMP: 7.700000, X: 0.285552, Y: 9.540563, Z: -1.756285, PITCH: 0.193116, YAW: 1.506411
TIMESTAMP: 7.800000, X: 0.447875, Y: 9.533456, Z: -1.787905, PITCH: 0.196856, YAW: 1.508323
TIMESTAMP: 7.900000, X: 0.613814, Y: 9.523840, Z: -1.819365, PITCH: 0.200626, YAW: 1.510269
TIMESTAMP: 8.000000, X: 0.783117, Y: 9.512043, Z: -1.850649, PITCH: 0.204399, YAW: 1.512206
TIMESTAMP: 8.100000, X: 0.955533, Y: 9.498394, Z: -1.881747, PITCH: 0.208110, YAW: 1.514102
TIMESTAMP: 8.200000, X: 1.130816, Y: 9.483223, Z: -1.912652, PITCH: 0.211818, YAW: 1.516002
TIMESTAMP: 8.300000, X: 1.308728, Y: 9.466859, Z: -1.943359, PITCH: 0.215647, YAW: 1.517969
TIMESTAMP: 8.400000, X: 1.489035, Y: 9.449625, Z: -1.973869, PITCH: 0.219481, YAW: 1.519935
TIMESTAMP: 8.500000, X: 1.671515, Y: 9.431837, Z: -2.004186, PITCH: 0.223077, YAW: 1.521777
TIMESTAMP: 8.600000, X: 1.855952, Y: 9.413804, Z: -2.034320, PITCH: 0.226646, YAW: 1.523607
TIMESTAMP: 8.700000, X: 2.042144, Y: 9.395821, Z: -2.064282, PITCH: 0.230844, YAW: 1.525760
TIMESTAMP: 8.800000, X: 2.229898, Y: 9.378172, Z: -2.094090, PITCH: 0.235882, YAW: 1.528343
TIMESTAMP: 8.900000, X: 2.419032, Y: 9.361126, Z: -2.123764, PITCH: 0.241210, YAW: 1.531075
TIMESTAMP: 9.000000, X: 2.609379, Y: 9.344936, Z: -2.153328, PITCH: 0.246315, YAW: 1.533692
TIMESTAMP: 9.100000, X: 2.800781, Y: 9.329834, Z: -2.182810, PITCH: 0.251276, YAW: 1.536236
TIMESTAMP: 9.200000, X: 2.993093, Y: 9.316037, Z: -2.212241, PITCH: 0.256337, YAW: 1.538831
TIMESTAMP: 9.300000, X: 3.186182, Y: 9.303736, Z: -2.241656, PITCH: 0.261474, YAW: 1.541465
TIMESTAMP: 9.400000, X: 3.379925, Y: 9.293104, Z: -2.271093, PITCH: 0.266559, YAW: 1.544072
TIMESTAMP: 9.500000, X: 3.574211, Y: 9.284288, Z: -2.300592, PITCH: 0.271605, YAW: 1.546659
TIMESTAMP: 9.600000, X: 3.768939, Y: 9.277413, Z: -2.330195, PITCH: 0.276677, YAW: 1.549260
TIMESTAMP: 9.700000, X: 3.964016, Y: 9.272577, Z: -2.359946, PITCH: 0.281771, YAW: 1.551872
TIMESTAMP: 9.800000, X: 4.159359, Y: 9.269855, Z: -2.389892, PITCH: 0.286850, YAW: 1.554476
TIMESTAMP: 9.900000, X: 4.354893, Y: 9.269295, Z: -2.420081, PITCH: 0.291919, YAW: 1.557075
TIMESTAMP: 10.000000, X: 4.550547, Y: 9.270921, Z: -2.450562, PITCH: 0.296995, YAW: 1.559678
TIMESTAMP: 10.100000, X: 4.746260, Y: 9.274727, Z: -2.481384, PITCH: 0.302075, YAW: 1.562282
TIMESTAMP: 10.200000, X: 4.941973, Y: 9.280687, Z: -2.512598, PITCH: 0.307150, YAW: 1.564884
TIMESTAMP: 10.300000, X: 5.137633, Y: 9.288744, Z: -2.544254, PITCH: 0.312230, YAW: 1.567490
TIMESTAMP: 10.400000, X: 5.333189, Y: 9.298821, Z: -2.576402, PITCH: 0.317311, YAW: 1.570096
TIMESTAMP: 10.500000, X: 5.528592, Y: 9.310813, Z: -2.609093, PITCH: 0.322378, YAW: 1.572691
TIMESTAMP: 10.600000, X: 5.723798, Y: 9.324594, Z: -2.642376, PITCH: 0.327435, YAW: 1.575279
TIMESTAMP: 10.700000, X: 5.918761, Y: 9.340016, Z: -2.676300, PITCH: 0.332520, YAW: 1.577890
TIMESTAMP: 10.800000, X: 6.113437, Y: 9.356908, Z: -2.710912, PITCH: 0.337666, YAW: 1.580536
TIMESTAMP: 10.900000, X: 6.307781, Y: 9.375082, Z: -2.746260, PITCH: 0.342860, YAW: 1.583198
TIMESTAMP: 11.000000, X: 6.501751, Y: 9.394333, Z: -2.782390, PITCH: 0.348059, YAW: 1.585851
TIMESTAMP: 11.100000, X: 6.695302, Y: 9.414437, Z: -2.819345, PITCH: 0.353239, YAW: 1.588509
TIMESTAMP: 11.200000, X: 6.888390, Y: 9.435160, Z: -2.857168, PITCH: 0.358409, YAW: 1.591183
TIMESTAMP: 11.300000, X: 7.080972, Y: 9.456256, Z: -2.895903, PITCH: 0.363596, YAW: 1.593839
TIMESTAMP: 11.400000, X: 7.273003, Y: 9.477468, Z: -2.935589, PITCH: 0.368795, YAW: 1.596462
TIMESTAMP: 11.500000, X: 7.464440, Y: 9.498536, Z: -2.976267, PITCH: 0.373976, YAW: 1.599124
TIMESTAMP: 11.600000, X: 7.655242, Y: 9.519194, Z: -3.017974, PITCH: 0.379134, YAW: 1.601849
TIMESTAMP: 11.700000, X: 7.845368, Y: 9.539175, Z: -3.060747, PITCH: 0.384321, YAW: 1.604498
TIMESTAMP: 11.800000, X: 8.034779, Y: 9.558215, Z: -3.104625, PITCH: 0.389551, YAW: 1.607031
TIMESTAMP: 11.900000, X: 8.223439, Y: 9.576052, Z: -3.149640, PITCH: 0.394729, YAW: 1.609704
TIMESTAMP: 12.000000, X: 8.411315, Y: 9.592431, Z: -3.195829, PITCH: 0.399826, YAW: 1.612597
TIMESTAMP: 12.100000, X: 8.598377, Y: 9.607108, Z: -3.243224, PITCH: 0.405021, YAW: 1.615225
TIMESTAMP: 12.200000, X: 8.784599, Y: 9.619849, Z: -3.291858, PITCH: 0.410366, YAW: 1.617439
TIMESTAMP: 12.300000, X: 8.969961, Y: 9.630434, Z: -3.341763, PITCH: 0.415531, YAW: 1.620149
TIMESTAMP: 12.400000, X: 9.154446, Y: 9.638660, Z: -3.392968, PITCH: 0.420397, YAW: 1.623676
TIMESTAMP: 12.500000, X: 9.338045, Y: 9.644343, Z: -3.445503, PITCH: 0.425607, YAW: 1.626263
