TIMESTAMP: 5.100000, X: 5.415166, Y: -0.841022, Z: 4.986678, PITCH: -0.813351, YAW: -2.636297
TIMESTAMP: 5.200000, X: 5.354806, Y: -0.911597, Z: 5.026196, PITCH: -0.821015, YAW: -2.659788
TIMESTAMP: 5.300000, X: 5.296623, Y: -0.987732, Z: 5.061304, PITCH: -0.828671, YAW: -2.682395
TIMESTAMP: 5.400000, X: 5.240663, Y: -1.069458, Z: 5.092036, PITCH: -0.836367, YAW: -2.709524
TIMESTAMP: 5.500000, X: 5.186947, Y: -1.156781, Z: 5.118465, PITCH: -0.844041, YAW: -2.734080
TIMESTAMP: 5.600000, X: 5.135471, Y: -1.249685, Z: 5.140712, PITCH: -0.851573, YAW: -2.741668
TIMESTAMP: 5.700000, X: 5.086208, Y: -1.348129, Z: 5.158934, PITCH: -0.859020, YAW: -2.737306
TIMESTAMP: 5.800000, X: 5.039106, Y: -1.452052, Z: 5.173333, PITCH: -0.866504, YAW: -2.736733
TIMESTAMP: 5.900000, X: 4.994091, Y: -1.561371, Z: 5.184146, PITCH: -0.874007, YAW: -2.741974
TIMESTAMP: 6.000000, X: 4.951067, Y: -1.675980, Z: 5.191648, PITCH: -0.881486, YAW: -2.745514
TIMESTAMP: 6.100000, X: 4.909919, Y: -1.795752, Z: 5.196147, PITCH: -0.888995, YAW: -2.745964
TIMESTAMP: 6.200000, X: 4.870510, Y: -1.920544, Z: 5.197980, PITCH: -0.896531, YAW: -2.747271
TIMESTAMP: 6.300000, X: 4.832689, Y: -2.050190, Z: 5.197511, PITCH: -0.903975, YAW: -2.750317
TIMESTAMP: 6.400000, X: 4.796287, Y: -2.184509, Z: 5.195128, PITCH: -0.911381, YAW: -2.752938
TIMESTAMP: 6.500000, X: 4.761124, Y: -2.323303, Z: 5.191237, PITCH: -0.918975, YAW: -2.754457
TIMESTAMP: 6.600000, X: 4.727007, Y: -2.466361, Z: 5.186260, PITCH: -0.926636, YAW: -2.756146
TIMESTAMP: 6.700000, X: 4.693735, Y: -2.613458, Z: 5.180630, PITCH: -0.933935, YAW: -2.758747
TIMESTAMP: 6.800000, X: 4.661098, Y: -2.764355, Z: 5.174786, PITCH: -0.941111, YAW: -2.761365
TIMESTAMP: 6.900000, X: 4.628884, Y: -2.918806, Z: 5.169171, PITCH: -0.948970, YAW: -2.762891
TIMESTAMP: 7.000000, X: 4.596878, Y: -3.076556, Z: 5.164226, PITCH: -0.957055, YAW: -2.764208
TIMESTAMP: 7.100000, X: 4.564864, Y: -3.237340, Z: 5.160387, PITCH: -0.963864, YAW: -2.767237
TIMESTAMP: 7.200000, X: 4.532628, Y: -3.400892, Z: 5.158080, PITCH: -0.970253, YAW: -2.770745
TIMESTAMP: 7.300000, X: 4.499963, Y: -3.566937, Z: 5.157719, PITCH: -0.979021, YAW: -2.771243
TIMESTAMP: 7.400000, X: 4.466666, Y: -3.735201, Z: 5.159701, PITCH: -0.988538, YAW: -2.770839
TIMESTAMP: 7.500000, X: 4.432542, Y: -3.905408, Z: 5.164403, PITCH: -0.993697, YAW: -2.775852
TIMESTAMP: 7.600000, X: 4.397408, Y: -4.077282, Z: 5.172179, PITCH: -0.997753, YAW: -2.782216
TIMESTAMP: 7.700000, X: 4.361093, Y: -4.250548, Z: 5.183358, PITCH: -1.009171, YAW: -2.779471
TIMESTAMP: 7.800000, X: 4.323439, Y: -4.424933, Z: 5.198242, PITCH: -1.017523, YAW: -2.780520
TIMESTAMP: 7.900000, X: 4.284302, Y: -4.600169, Z: 5.217104, PITCH: -0.999820, YAW: -2.813763
TIMESTAMP: 8.000000, X: 4.243554, Y: -4.775993, Z: 5.240187, PITCH: -0.960643, YAW: -2.873522
TIMESTAMP: 8.100000, X: 4.201084, Y: -4.952144, Z: 5.267702, PITCH: -0.924648, YAW: -2.929310
TIMESTAMP: 8.200000, X: 4.156800, Y: -5.128368, Z: 5.299831, PITCH: -0.898336, YAW: -2.973212
TIMESTAMP: 8.300000, X: 4.110624, Y: -5.304420, Z: 5.336724, PITCH: -0.870871, YAW: -3.018566
TIMESTAMP: 8.400000, X: 4.062499, Y: -5.480057, Z: 5.378501, PITCH: -0.838445, YAW: -3.069946
TIMESTAMP: 8.500000, X: 4.012382, Y: -5.655045, Z: 5.425256, PITCH: -0.806576, YAW: -3.120616
TIMESTAMP: 8.600000, X: 3.960252, Y: -5.829157, Z: 5.477052, PITCH: -0.777316, YAW: 3.115011
TIMESTAMP: 8.700000, X: 3.906101, Y: -6.002171, Z: 5.533930, PITCH: -0.747770, YAW: 3.067091
TIMESTAMP: 8.800000, X: 3.849939, Y: -6.173872, Z: 5.595906, PITCH: -0.716839, YAW: 3.017556
TIMESTAMP: 8.900000, X: 3.791793, Y: -6.344053, Z: 5.662974, PITCH: -0.686053, YAW: 2.968201
TIMESTAMP: 9.000000, X: 3.731702, Y: -6.512513, Z: 5.735109, PITCH: -0.656014, YAW: 2.919696
TIMESTAMP: 9.100000, X: 3.669723, Y: -6.679054, Z: 5.812268, PITCH: -0.625914, YAW: 2.871119
TIMESTAMP: 9.200000, X: 3.605924, Y: -6.843488, Z: 5.894395, PITCH: -0.595383, YAW: 2.822058
TIMESTAMP: 9.300000, X: 3.540386, Y: -7.005630, Z: 5.981418, PITCH: -0.564853, YAW: 2.772987
TIMESTAMP: 9.400000, X: 3.473202, Y: -7.165301, Z: 6.073255, PITCH: -0.534627, YAW: 2.724274
TIMESTAMP: 9.500000, X: 3.404475, Y: -7.322325, Z: 6.169814, PITCH: -0.504511, YAW: 2.675731
TIMESTAMP: 9.600000, X: 3.334318, Y: -7.476534, Z: 6.270997, PITCH: -0.474143, YAW: 2.626867
TIMESTAMP: 9.700000, X: 3.262851, Y: -7.627762, Z: 6.376695, PITCH: -0.443367, YAW: 2.577371
TIMESTAMP: 9.800000, X: 3.190204, Y: -7.775847, Z: 6.486798, PITCH: -0.412344, YAW: 2.527427
TIMESTAMP: 9.900000, X: 3.116513, Y: -7.920633, Z: 6.601186, PITCH: -0.381324, YAW: 2.477470
TIMESTAMP: 10.000000, X: 3.041920, Y: -8.061965, Z: 6.719737, PITCH: -0.350346, YAW: 2.427604
TIMESTAMP: 10.100000, X: 2.966572, Y: -8.199693, Z: 6.842322, PITCH: -0.319303, YAW: 2.377635
TIMESTAMP: 10.200000, X: 2.890621, Y: -8.333673, Z: 6.968804, PITCH: -0.288278, YAW: 2.327685
TIMESTAMP: 10.300000, X: 2.814222, Y: -8.463760, Z: 7.099042, PITCH: -0.257411, YAW: 2.278014
TIMESTAMP: 10.400000, X: 2.737536, Y: -8.589819, Z: 7.232885, PITCH: -0.226468, YAW: 2.228216
TIMESTAMP: 10.500000, X: 2.660725, Y: -8.711713, Z: 7.370173, PITCH: -0.195204, YAW: 2.177825
TIMESTAMP: 10.600000, X: 2.583951, Y: -8.829315, Z: 7.510735, PITCH: -0.164108, YAW: 2.127732
TIMESTAMP: 10.700000, X: 2.507382, Y: -8.942498, Z: 7.654389, PITCH: -0.133632, YAW: 2.078828
TIMESTAMP: 10.800000, X: 2.431182, Y: -9.051143, Z: 7.800938, PITCH: -0.102827, YAW: 2.029308
TIMESTAMP: 10.900000, X: 2.355518, Y: -9.155135, Z: 7.950171, PITCH: -0.070832, YAW: 1.977457
TIMESTAMP: 11.000000, X: 2.280555, Y: -9.254367, Z: 8.101863, PITCH: -0.039464, YAW: 1.926814
TIMESTAMP: 11.100000, X: 2.206455, Y: -9.348737, Z: 8.255768, PITCH: -0.010413, YAW: 1.880783
TIMESTAMP: 11.200000, X: 2.133379, Y: -9.438149, Z: 8.411625, PITCH: 0.019785, YAW: 1.832495
TIMESTAMP: 11.300000, X: 2.061483, Y: -9.522518, Z: 8.569154, PITCH: 0.054931, YAW: 1.774265
TIMESTAMP: 11.400000, X: 1.990917, Y: -9.601766, Z: 8.728053, PITCH: 0.088664, YAW: 1.718843
TIMESTAMP: 11.500000, X: 1.921827, Y: -9.675824, Z: 8.888006, PITCH: 0.108483, YAW: 1.691466
TIMESTAMP: 11.600000, X: 1.854347, Y: -9.744635, Z: 9.048674, PITCH: 0.112492, YAW: 1.695913
TIMESTAMP: 11.700000, X: 1.788605, Y: -9.808153, Z: 9.209701, PITCH: 0.112132, YAW: 1.709115
TIMESTAMP: 11.800000, X: 1.724715, Y: -9.866345, Z: 9.370714, PITCH: 0.116263, YAW: 1.713288
TIMESTAMP: 11.900000, X: 1.662780, Y: -9.919189, Z: 9.531328, PITCH: 0.122699, YAW: 1.712901
TIMESTAMP: 12.000000, X: 1.602885, Y: -9.966683, Z: 9.691139, PITCH: 0.127062, YAW: 1.716662
TIMESTAMP: 12.100000, X: 1.545100, Y: -10.008835, Z: 9.849737, PITCH: 0.130172, YAW: 1.722788
TIMESTAMP: 12.200000, X: 1.489476, Y: -10.045674, Z: 10.006700, PITCH: 0.134364, YAW: 1.726793
TIMESTAMP: 12.300000, X: 1.436040, Y: -10.077245, Z: 10.161603, PITCH: 0.139279, YAW: 1.729631
TIMESTAMP: 12.400000, X: 1.384802, Y: -10.103611, Z: 10.314015, PITCH: 0.143600, YAW: 1.733559
TIMESTAMP: 12.500000, X: 1.335742, Y: -10.124857, Z: 10.463507, PITCH: 0.147435, YAW: 1.737936
TIMESTAMP: 12.600000, X: 1.288820, Y: -10.141084, Z: 10.609651, PITCH: 0.151631, YAW: 1.741803
TIMESTAMP: 12.700000, X: 1.243968, Y: -10.152415, Z: 10.752026, PITCH: 0.156229, YAW: 1.745713
TIMESTAMP: 12.800000, X: 1.201091, Y: -10.158992, Z: 10.890218, PITCH: 0.160330, YAW: 1.749586
TIMESTAMP: 12.900000, X: 1.160069, Y: -10.160977, Z: 11.023824, PITCH: 0.163319, YAW: 1.752440
TIMESTAMP: 13.000000, X: 1.120753, Y: -10.158551, Z: 11.152456, PITCH: 0.165717, YAW: 1.754535
TIMESTAMP: 13.100000, X: 1.082971, Y: -10.151913, Z: 11.275738, PITCH: 0.168328, YAW: 1.756889
TIMESTAMP: 13.200000, X: 1.046526, Y: -10.141277, Z: 11.393315, PITCH: 0.171200, YAW: 1.759604
TIMESTAMP: 13.300000, X: 1.011196, Y: -10.126874, Z: 11.504850, PITCH: 0.173982, YAW: 1.762196
TIMESTAMP: 13.400000, X: 0.976740, Y: -10.108949, Z: 11.610026, PITCH: 0.176645, YAW: 1.764619
TIMESTAMP: 13.500000, X: 0.942898, Y: -10.087757, Z: 11.708549, PITCH: 0.179358, YAW: 1.767114
TIMESTAMP: 13.600000, X: 0.909393, Y: -10.063563, Z: 11.800150, PITCH: 0.182105, YAW: 1.769657
TIMESTAMP: 13.700000, X: 0.875935, Y: -10.036639, Z: 11.884580, PITCH: 0.184817, YAW: 1.772149
TIMESTAMP: 13.800000, X: 0.842224, Y: -10.007263, Z: 11.961620, PITCH: 0.187564, YAW: 1.774693
TIMESTAMP: 13.900000, X: 0.807950, Y: -9.975713, Z: 12.031073, PITCH: 0.190347, YAW: 1.777287
TIMESTAMP: 14.000000, X: 0.772802, Y: -9.942270, Z: 12.092770, PITCH: 0.193009, YAW: 1.779709
TIMESTAMP: 14.100000, X: 0.736466, Y: -9.907209, Z: 12.146569, PITCH: 0.195622, YAW: 1.782060
TIMESTAMP: 14.200000, X: 0.698631, Y: -9.870803, Z: 12.192353, PITCH: 0.198490, YAW: 1.784776
TIMESTAMP: 14.300000, X: 0.658992, Y: -9.833315, Z: 12.230032, PITCH: 0.201448, YAW: 1.787621
TIMESTAMP: 14.400000, X: 0.617253, Y: -9.795001, Z: 12.259544, PITCH: 0.203897, YAW: 1.789738
TIMESTAMP: 14.500000, X: 0.573129, Y: -9.756103, Z: 12.280852, PITCH: 0.206129, YAW: 1.791541
TIMESTAMP: 14.600000, X: 0.526351, Y: -9.716851, Z: 12.293944, PITCH: 0.209467, YAW: 1.794932
TIMESTAMP: 14.700000, X: 0.476670, Y: -9.677457, Z: 12.298837, PITCH: 0.213979, YAW: 1.800008
TIMESTAMP: 14.800000, X: 0.423855, Y: -9.638118, Z: 12.295570, PITCH: 0.217113, YAW: 1.803105
TIMESTAMP: 14.900000, X: 0.367701, Y: -9.599011, Z: 12.284208, PITCH: 0.215981, YAW: 1.800084
TIMESTAMP: 15.000000, X: 0.308027, Y: -9.560296, Z: 12.264837, PITCH: 0.210659, YAW: 1.791052
TIMESTAMP: 15.100000, X: 0.244680, Y: -9.522110, Z: 12.237571, PITCH: 0.204099, YAW: 1.780243
TIMESTAMP: 15.200000, X: 0.177536, Y: -9.484572, Z: 12.202542, PITCH: 0.198531, YAW: 1.770858
TIMESTAMP: 15.300000, X: 0.106501, Y: -9.447778, Z: 12.159906, PITCH: 0.193575, YAW: 1.762350
TIMESTAMP: 15.400000, X: 0.031513, Y: -9.411806, Z: 12.109836, PITCH: 0.188186, YAW: 1.753222
TIMESTAMP: 15.500000, X: -0.047459, Y: -9.376714, Z: 12.052529, PITCH: 0.182478, YAW: 1.743636
TIMESTAMP: 15.600000, X: -0.130415, Y: -9.342540, Z: 11.988197, PITCH: 0.176990, YAW: 1.734365
TIMESTAMP: 15.700000, X: -0.217320, Y: -9.309306, Z: 11.917071, PITCH: 0.171672, YAW: 1.725337
TIMESTAMP: 15.800000, X: -0.308112, Y: -9.277017, Z: 11.839397, PITCH: 0.166237, YAW: 1.716143
TIMESTAMP: 15.900000, X: -0.402693, Y: -9.245662, Z: 11.755439, PITCH: 0.160712, YAW: 1.706819
TIMESTAMP: 16.000000, X: -0.500936, Y: -9.215217, Z: 11.665472, PITCH: 0.155248, YAW: 1.697584
TIMESTAMP: 16.100000, X: -0.602687, Y: -9.185647, Z: 11.569785, PITCH: 0.149834, YAW: 1.688418
TIMESTAMP: 16.200000, X: -0.707760, Y: -9.156908, Z: 11.468679, PITCH: 0.144386, YAW: 1.679205
TIMESTAMP: 16.300000, X: -0.815944, Y: -9.128944, Z: 11.362464, PITCH: 0.138912, YAW: 1.669955
